product_name,product_subtitle,product_price,product_no_colors
Kyrie 3,Basketball Shoe,"₹7,697",1 Colour
Jordan Super.Fly 2017,Men's Basketball Shoe,"₹14,995",2 Colours
Nike SB Dunk Elite High,Men's Skateboarding Shoe,"₹11,757",1 Colour
Nike SB Zoom Blazer Mid 'Lance Mountain',Men's Skateboarding Shoe,"₹7,197",1 Colour
Nike SB Dunk High Elite QS,Men's Skateboarding Shoe,"₹11,757",1 Colour
LeBron Soldier XI,Basketball Shoe,"₹12,495",4 Colours
NikeLab React Hyperdunk 2017 Flyknit,Men's Basketball Shoe,"₹13,597",1 Colour
Air Jordan 2 Retro Decon,Men's Shoe,"₹15,695",3 Colours
Air Jordan 11 Retro Low,Men's Shoe,"₹14,495",1 Colour
Nike Metcon 3,Men's Training Shoe,"₹8,637",3 Colours
Air Jordan Trainer 2 Flyknit,Men's Training Shoe,"₹13,995",4 Colours
Kyrie 3 EP,Men's Basketball Shoe,"₹8,797",2 Colours
Nike Metcon Repper DSX,Men's Training Shoe,"₹6,637",3 Colours
Nike Air Force 1 '07,Men's Shoe,"₹6,397",1 Colour
Nike Tanjun Racer,Men's Shoe,"₹5,495",2 Colours
Nike CK Racer,Men's Shoe,"₹7,495",2 Colours
Nike Air Max 95 Essential,Men's Shoe,"₹12,797",1 Colour
Nike Air Max Fury,Men's Running Shoe,"₹10,495",3 Colours
Nike Air Max Invigor,Men's Shoe,"₹7,695",3 Colours
Jordan Fly Unlimited,Men's Basketball Shoe,"₹9,995",4 Colours
Nike Free RN 2017,Men's Running Shoe,"₹6,297",6 Colours
Nike React Hyperdunk 2017 Low,Men's Basketball Shoe,"₹11,995",3 Colours
Nike LunarSolo,Men's Running Shoe,"₹8,795",7 Colours
Nike Air Zoom Structure 21,Men's Running Shoe,"₹10,995",5 Colours
Nike SB Air Max Bruin Vapor Leather,Men's Skateboarding Shoe,"₹8,797",1 Colour
Nike SB Air Max Bruin Vapor,Men's Skateboarding Shoe,"₹8,317",2 Colours
Nike Free RN Commuter 2017,Men's Running Shoe,"₹9,795",2 Colours
Nike Free Trainer V7,Men's Training Shoe,"₹8,995",4 Colours
Nike Zoom Train Command,Men's Training Shoe,"₹10,995",4 Colours
Nike Air Huarache,Men's Shoe,"₹7,597",2 Colours
Nike Hyperdunk 2017,Basketball Shoe,"₹12,995",3 Colours
Nike Free RN Motion Flyknit 2017,Men's Running Shoe,"₹10,797",3 Colours
Jordan AJ 1 High Strap,Men's Shoe,"₹11,197",2 Colours
Nike Air Max 2017 iD,Men's Running Shoe,"₹20,695",2 Colours
